,Year,Team,Result
0,2019,Toronto Raptors,Champ
1,2019,Golden State Warriors,Finals
2,2019,Milwaukee Bucks,Conference Finals
3,2019,Portland Trail Blazers,Conference Finals
4,2019,Boston Celtics,2nd Round
5,2019,Philadelphia 76ers,2nd Round
6,2019,Houston Rockets,2nd Round
7,2019,Denver Nuggets,2nd Round
8,2019,Indiana Pacers,Playoffs
9,2019,Detroit Pistons,Playoffs
10,2019,Brooklyn Nets,Playoffs
11,2019,Orlando Magic,Playoffs
12,2019,San Antonio Spurs,Playoffs
13,2019,Los Angeles Clippers,Playoffs
14,2019,Utah Jazz,Playoffs
15,2019,Oklahoma City Thunder,Playoffs
0,2018,Golden State Warriors,Champ
1,2018,Cleveland Cavaliers,Finals
2,2018,Boston Celtics,Conference Finals
3,2018,Houston Rockets,Conference Finals
4,2018,Philadelphia 76ers,2nd Round
5,2018,Toronto Raptors,2nd Round
6,2018,New Orleans Pelicans,2nd Round
7,2018,Utah Jazz,2nd Round
8,2018,Milwaukee Bucks,Playoffs
9,2018,Indiana Pacers,Playoffs
10,2018,Miami Heat,Playoffs
11,2018,Washington Wizards,Playoffs
12,2018,San Antonio Spurs,Playoffs
13,2018,Minnesota Timberwolves,Playoffs
14,2018,Portland Trail Blazers,Playoffs
15,2018,Oklahoma City Thunder,Playoffs
0,2017,Golden State Warriors,Champ
1,2017,Cleveland Cavaliers,Finals
2,2017,Boston Celtics,Conference Finals
3,2017,San Antonio Spurs,Conference Finals
4,2017,Washington Wizards,2nd Round
5,2017,Toronto Raptors,2nd Round
6,2017,Utah Jazz,2nd Round
7,2017,Houston Rockets,2nd Round
8,2017,Chicago Bulls,Playoffs
9,2017,Indiana Pacers,Playoffs
10,2017,Milwaukee Bucks,Playoffs
11,2017,Atlanta Hawks,Playoffs
12,2017,Portland Trail Blazers,Playoffs
13,2017,Oklahoma City Thunder,Playoffs
14,2017,Memphis Grizzlies,Playoffs
15,2017,Los Angeles Clippers,Playoffs
0,2016,Cleveland Cavaliers,Champ
1,2016,Golden State Warriors,Finals
2,2016,Toronto Raptors,Conference Finals
3,2016,Oklahoma City Thunder,Conference Finals
4,2016,Atlanta Hawks,2nd Round
5,2016,Miami Heat,2nd Round
6,2016,Portland Trail Blazers,2nd Round
7,2016,San Antonio Spurs,2nd Round
8,2016,Boston Celtics,Playoffs
9,2016,Detroit Pistons,Playoffs
10,2016,Charlotte Hornets,Playoffs
11,2016,Indiana Pacers,Playoffs
12,2016,Houston Rockets,Playoffs
13,2016,Dallas Mavericks,Playoffs
14,2016,Los Angeles Clippers,Playoffs
15,2016,Memphis Grizzlies,Playoffs
0,2015,Golden State Warriors,Champ
1,2015,Cleveland Cavaliers,Finals
2,2015,Atlanta Hawks,Conference Finals
3,2015,Houston Rockets,Conference Finals
4,2015,Washington Wizards,2nd Round
5,2015,Chicago Bulls,2nd Round
6,2015,Memphis Grizzlies,2nd Round
7,2015,Los Angeles Clippers,2nd Round
8,2015,Brooklyn Nets,Playoffs
9,2015,Milwaukee Bucks,Playoffs
10,2015,Boston Celtics,Playoffs
11,2015,Toronto Raptors,Playoffs
12,2015,New Orleans Pelicans,Playoffs
13,2015,Dallas Mavericks,Playoffs
14,2015,San Antonio Spurs,Playoffs
15,2015,Portland Trail Blazers,Playoffs
0,2014,San Antonio Spurs,Champ
1,2014,Miami Heat,Finals
2,2014,Indiana Pacers,Conference Finals
3,2014,Oklahoma City Thunder,Conference Finals
4,2014,Washington Wizards,2nd Round
5,2014,Brooklyn Nets,2nd Round
6,2014,Los Angeles Clippers,2nd Round
7,2014,Portland Trail Blazers,2nd Round
8,2014,Toronto Raptors,Playoffs
9,2014,Atlanta Hawks,Playoffs
10,2014,Charlotte Bobcats,Playoffs
11,2014,Chicago Bulls,Playoffs
12,2014,Golden State Warriors,Playoffs
13,2014,Memphis Grizzlies,Playoffs
14,2014,Houston Rockets,Playoffs
15,2014,Dallas Mavericks,Playoffs
0,2013,Miami Heat,Champ
